Code UIC,Libellé Gare,Fret,Voyageurs,Code Ligne,Rang,PK,X (Lambert 93),Y (Lambert 93),X (WGS84),Y (WGS84),Commune,Département,coordonnees_geographiques
87575266.0,St-Benoît (Vienne),N,N,538000,1.0,0+000,495840.97278,6608589.60603,37301.8840246,5868333.91715,St-Benoît,Vienne,"46.5463206483, 0.335088525451"
87545459.0,La Norville-St-Germain-lès-Arpajo,N,O,550000,1.0,34+718,645980.336407,6832637.78111,252415.51322,6205861.88482,La Norville,Essonne,"48.5916917514, 2.26748713474"
87545491.0,Breuillet-Village,N,O,550000,1.0,42+749,638865.360832,6829714.48834,241722.465948,6201331.11,Breuillet,Essonne,"48.5647643351, 2.17142985676"
87545525.0,Dourdan,O,O,550000,1.0,55+542,626898.80587,6826385.10199,223732.823372,6196086.56632,Dourdan,Essonne,"48.5335769175, 2.00982614795"
87571513.0,La Membrolle-sur-Choisille,N,O,550000,1.0,234+083,522197.855445,6706081.98782,71344.9943834,6012740.24061,La Membrolle-sur-Choisille,Indre-et-Loire,"47.4311825743, 0.640902988997"
87574640.0,St-Amand-de-Vendôme,O,O,550000,1.0,190+587,550890.866467,6734393.47503,112652.415944,6055938.04369,St-Amand-Longpré,Loir-et-Cher,"47.6930359562, 1.01197387035"
87394874.0,Gallardon-Pont,N,N,553000,1.0,67+700,602881.803082,6825000.3931,187559.422916,6193462.96147,Bailleau-Armenonville,Eure-et-Loir,"48.5179680687, 1.68487496285"
87391805.0,Montrouge-Châtillon,O,N,553000,1.0,4+602,648767.509007,6856762.0213,256300.827111,6242496.65793,Châtillon,Hauts-de-Seine,"48.8088937756, 2.30238950327"
87545665.0,Auneau-Ville,N,N,555000,1.0,20+786,609384.004522,6818205.6748,197518.388195,6183355.81009,Auneau,Eure-et-Loir,"48.4577917138, 1.7743378701"
87545657.0,Auneau,O,O,555000,1.0,22+340,608907.675721,6815396.42734,196867.262569,6179103.91361,Auneau,Eure-et-Loir,"48.4324552658, 1.76848870909"
87545707.0,Voves,O,O,556000,1.0,25+081,597784.231553,6798106.12843,180584.026715,6152771.67116,Voves,Eure-et-Loir,"48.2752635802, 1.62221391267"
87543306.0,Fains-la-Folie,O,N,556000,1.0,31+579,599576.722749,6792348.19078,183421.072155,6144158.6583,Fains-la-Folie,Eure-et-Loir,"48.2237424821, 1.64769952546"
87545772.0,Péronville,N,N,558000,1.0,38+290,594261.557385,6774258.2734,175942.589625,6116867.52424,Péronville,Eure-et-Loir,"48.0601501954, 1.58051917387"
87574756.0,Thoré-la-Rochette,N,N,559000,1.0,21+702,547412.448257,6743648.21026,107137.687044,6069588.34994,Thoré-la-Rochette,Loir-et-Cher,"47.7755083368, 0.962434217769"
87574715.0,Selommes,O,N,559000,1.0,44+798,564635.997611,6740492.20224,132838.238766,6065510.52207,Selommes,Loir-et-Cher,"47.7508846099, 1.19330620198"
87574426.0,Villefrancoeur,N,N,559000,1.0,50+739,565724.419549,6734644.62985,134651.792653,6056840.0833,Villefrancoeur,Loir-et-Cher,"47.6984899273, 1.20959763374"
87574004.0,Blois,O,O,559000,1.0,66+906,574006.879961,6721891.51454,147343.532681,6038149.26073,Blois,Loir-et-Cher,"47.5853636827, 1.32360947423"
87571513.0,La Membrolle-sur-Choisille,N,O,561000,1.0,246+830,522197.855445,6706081.98782,71344.9943834,6012740.24061,St-Cyr-sur-Loire,Indre-et-Loire,"47.4311825743, 0.640902988997"
87571539.0,St-Antoine-du-Rocher,N,O,561000,1.0,255+765,520605.708077,6714209.95657,68632.5571035,6024712.29935,St-Antoine-du-Rocher,Indre-et-Loire,"47.5038850638, 0.616536750341"
87543009.0,Orléans,O,O,569000,1.0,121+050,618178.493841,6756985.33638,212036.880071,6091588.54405,Orléans,Loiret,"47.9081541926, 1.90475970164"
87545236.0,Savigny-sur-Orge,N,O,570000,1.0,21+779,652286.344284,6841951.16703,261818.633444,6220056.00702,Savigny-sur-Orge,Essonne,"48.6759577779, 2.35195680091"
87545194.0,Brétigny,O,O,570000,1.0,31+336,648534.456303,6834232.75714,256249.480317,6208311.83975,Brétigny-sur-Orge,Essonne,"48.6062464111, 2.30192824716"
87545178.0,Bouray,N,O,570000,1.0,39+705,647618.388532,6826123.96753,254976.373624,6196028.90797,Lardy,Essonne,"48.5332339372, 2.29049173516"
87584532.0,Les Églisottes,N,O,570000,3.0,521+685,460628.350669,6448504.91956,-4854.66259432,5636377.60263,Les Églisottes-et-Chalaures,Gironde,"45.0942890576, -0.0436101760747"
87584730.0,St-Loubès,N,O,570000,3.0,565+014,429198.924078,6430682.68033,-48191.7694157,5609306.03166,St-Loubès,Gironde,"44.9223543025, -0.432914030348"
87581041.0,Bordeaux-Bénauge,N,N,570000,3.0,581+816,420229.770348,6422149.25777,-60292.4250926,5596687.14882,Bordeaux,Gironde,"44.8420339302, -0.541616069774"
87581009.0,Bordeaux-St-Jean,O,O,570000,3.0,583+844,419015.494377,6420412.62132,-61891.1340286,5594158.14612,Bordeaux,Gironde,"44.8259231021, -0.55597751649"
87574343.0,Amboise,N,O,570000,2.0,212+228,547811.383124,6704298.80895,109225.579877,6011151.58889,Amboise,Indre-et-Loire,"47.421527642, 0.981190078206"
87574129.0,St-Ay,N,O,570000,2.0,134+969,606521.031363,6752145.88343,194783.077619,6084100.91184,St-Ay,Loiret,"47.8630470552, 1.74976615713"
87574194.0,Mer (Loir-et-Cher),O,O,570000,2.0,160+270,587989.215334,6735010.29574,167680.735278,6058073.65625,Mer,Loir-et-Cher,"47.7059475135, 1.50630167352"
87574236.0,Suèvres,N,O,570000,2.0,165+071,584063.771314,6732272.82358,161934.474569,6053887.05299,Suèvres,Loir-et-Cher,"47.6806329985, 1.45468213531"
87574327.0,Veuves-Monteaux,N,O,570000,2.0,199+896,558707.347449,6710041.81606,125107.620342,6020057.22531,Veuves,Loir-et-Cher,"47.4756282342, 1.12386087513"
87545004.0,Paris-Tolbiac,O,N,570000,1.0,1+300,654084.427394,6859309.85691,264329.205402,6246438.33463,Paris-13,Paris,"48.8322075448, 2.37450965251"
87575134.0,Ingrandes-sur-Vienne,O,O,570000,3.0,296+956,514898.921458,6644461.1404,63372.0319052,5921642.56474,Ingrandes,Vienne,"46.8746798174, 0.569280648464"
87575167.0,Nerpuy,N,O,570000,3.0,308+208,511261.687865,6634438.03272,58517.4443204,5906800.54969,Naintré,Vienne,"46.7834598144, 0.525671146203"
87575191.0,Dissay (Vienne),N,O,570000,3.0,320+686,503031.224094,6625872.99582,46922.4617148,5893893.86654,Dissay,Vienne,"46.7040086294, 0.421511645275"
87575217.0,Jaunay-Clan,O,O,570000,3.0,324+686,499921.798386,6623527.59743,42507.7796882,5890318.8249,Jaunay-Clan,Vienne,"46.6819806162, 0.38185388188"
87575357.0,Épanvilliers,N,O,570000,3.0,378+959,486998.715806,6573400.06122,26253.0554984,5816785.26207,Blanzay,Vienne,"46.2269018791, 0.23583521009"
87575142.0,Châtellerault,O,O,573000,1.0,50+829,513200.469124,6638274.88719,61171.3248096,5912504.34246,Châtellerault,Vienne,"46.8185340162, 0.54951136026"
87575100.0,Arçay,N,N,574000,1.0,62+608,472738.959478,6656621.86127,1121.82977102,5937354.81439,Arçay,Vienne,"46.9710796638, 0.010077568292"
87575514.0,Migné-les-Lourdines,N,N,574000,1.0,9+910,494737.369838,6619439.81176,35163.7859639,5884097.69848,Migné-Auxances,Vienne,"46.643627038, 0.315881663786"
87583849.0,Ruffec (Charente),N,O,578000,1.0,75+642,482707.460243,6551741.98052,21171.9022213,5785259.29179,Ruelle-sur-Touvre,Charente,"46.0306314543, 0.190190433591"
87491449.0,Cognac,O,O,579000,1.0,17+277,441198.675613,6514893.02699,-36280.6050002,5729939.85569,Cognac,Charente,"45.6845400569, -0.325914219887"
87491506.0,Châteauneuf-sur-Charente,O,O,579000,1.0,44+427,462283.192848,6504629.95062,-5581.78065877,5716456.99484,Châteauneuf-sur-Charente,Charente,"45.599861597, -0.0501419887839"
87491209.0,St-Mariens-St-Yzan,O,O,580000,1.0,68+949,433497.271792,6454609.44687,-43582.8501757,5643471.40725,St-Yzan-de-Soudiac,Gironde,"45.139257314, -0.391511404382"
87581884.0,Le Bec-d'Ambès,O,N,583000,1.0,592+321,418109.032316,6442323.93435,-64564.9748539,5625085.22199,Ambès,Gironde,"45.0226325501, -0.579997037294"
87581710.0,Parempuyre,N,O,584000,1.0,10+950,414597.159605,6433722.16581,-68965.9258859,5612682.09526,Parempuyre,Gironde,"44.9438242501, -0.619531453064"
87581397.0,La Pointe-de-Grave,N,O,584000,1.0,101+924,383014.666352,6504514.13381,-118620.576195,5711177.33269,Le Verdon-sur-Mer,Gironde,"45.566668061, -1.06558676607"
87581256.0,Pauillac,N,O,584000,1.0,46+393,405287.721017,6463064.8687,-84057.8742965,5653666.49262,Pauillac,Gironde,"45.2038228017, -0.755104732315"
87581272.0,Trompeloup,N,N,584000,1.0,48+361,405366.597839,6464952.59146,-84073.4048669,5656354.66683,Pauillac,Gironde,"45.2208348181, -0.755244245796"
87581538.0,Caudéran-Mérignac,N,O,586000,1.0,9+323,413457.031425,6422514.74095,-69846.9175707,5596768.79448,Mérignac,Gironde,"44.8425539729, -0.627445536032"
87594218.0,Vigeois,N,O,590000,2.0,468+232,583879.984539,6477088.9766,168776.286838,5682081.26975,Vigeois,Corrèze,"45.38338734, 1.51614318064"
87594226.0,Estivaux,N,N,590000,2.0,476+397,580387.446707,6470053.09234,164002.821768,5671952.54199,Estivaux,Corrèze,"45.3194449997, 1.47326241433"
87594002.0,Brive-la-Gaillarde,O,O,590000,2.0,499+958,584319.624753,6451419.4731,170082.221342,5645540.30224,Brive-la-Gaillarde,Corrèze,"45.152365548, 1.5278745899"
87592493.0,St-Sébastien,N,O,590000,2.0,322+967,588453.946515,6588635.29764,172364.606128,5842815.86329,St-Sébastien,Creuse,"46.3884328638, 1.54837760127"
87592311.0,Ambazac,O,O,590000,2.0,383+311,576778.065629,6540600.41929,156856.301405,5772971.37701,Ambazac,Haute-Vienne,"45.9539414632, 1.40906412962"
87592048.0,Les Bardys,O,O,590000,2.0,389+263,574314.648178,6535373.78034,153470.936156,5765367.9421,St-Priest-Taurion,Haute-Vienne,"45.9064345124, 1.37865287617"
87592014.0,Limoges-Puy-Imbert,O,N,590000,2.0,398+230,568151.860959,6529426.15287,144807.441075,5756619.26868,Limoges,Haute-Vienne,"45.8517216607, 1.30082737572"
87592287.0,St-Germain-les-Belles,N,O,590000,2.0,437+175,581467.577283,6502378.88139,164652.608577,5718175.20444,St-Germain-les-Belles,Haute-Vienne,"45.6106598457, 1.47909954855"
87592295.0,La Porcherie,N,O,590000,2.0,443+475,585937.872562,6498317.73965,171143.70022,5712479.57541,La Porcherie,Haute-Vienne,"45.5748571584, 1.53741001688"
87597112.0,Chabenet,N,O,590000,2.0,290+160,586001.736453,6615428.07049,168080.608783,5881764.32913,Le Pont-Chrétien-Chabenet,Indre,"46.6292346741, 1.50989379833"
87597153.0,Éguzon,N,O,590000,2.0,316+400,588847.924508,6594708.74433,172773.903551,5851655.44715,Éguzon-Chantôme,Indre,"46.4431778407, 1.55205438256"
87613356.0,Caussade (Tarn-et-Garonne),O,O,590000,2.0,640+011,582698.900198,6341389.71521,170681.784246,5490501.30736,Caussade,Tarn-et-Garonne,"44.1617095518, 1.53326055509"
87574004.0,Blois,O,O,591000,1.0,179+758,574006.879961,6721891.51454,147343.532681,6038149.26073,Blois,Loir-et-Cher,"47.5853636827, 1.32360947423"
87574459.0,St-Martin-le-Beau,N,O,593000,1.0,293+336,541938.097526,6697067.43085,100839.782254,6000225.26549,St-Martin-le-Beau,Indre-et-Loire,"47.3550756101, 0.905859176464"
87576876.0,Gièvres,O,O,593000,1.0,231+690,599323.604447,6687357.8245,185696.054588,5987715.82141,Gièvres,Loir-et-Cher,"47.2788924298, 1.66813604037"
87597427.0,Fléré-la-Rivière,O,N,594000,1.0,298+284,556367.273223,6659629.3163,123434.331687,5945569.94922,Fléré-la-Rivière,Indre,"47.0214131809, 1.10882946739"
87597344.0,St-Maur-sur-Indre,O,N,594000,1.0,348+029,595303.285726,6634527.65542,181129.217743,5909928.82931,St-Maur,Indre,"46.8026993037, 1.62711144699"
87597005.0,Châteauroux,O,O,594000,1.0,353+981,601138.200211,6635358.0979,189625.156457,5911289.16429,Châteauroux,Indre,"46.8110634658, 1.70343176299"
87571885.0,Joué-lès-Tours,O,O,594000,1.0,241+192,523820.43039,6697508.15981,74114.3695711,6000125.54448,Joué-lès-Tours,Indre-et-Loire,"47.3544687381, 0.665780709585"
87576223.0,Chabris,N,O,600000,1.0,222+092,597611.207189,6684743.72606,183240.762272,5983812.77717,Chabris,Indre,"47.2551001996, 1.64607977423"
87576363.0,Luçay-le-Mâle,N,O,600000,1.0,245+627,581459.852203,6671483.54321,159858.108469,5963819.23419,Luçay-le-Mâle,Indre,"47.133055565, 1.43602982129"
87543165.0,Salbris,O,O,600000,1.0,178+665,628137.601241,6703570.23949,227836.19602,6012311.65941,Salbris,Loir-et-Cher,"47.428578073, 2.0466873716"
87576892.0,Romorantin,N,N,600000,1.0,207+227,604831.585543,6695900.90745,193605.170378,6000476.37155,Romorantin-Lanthenay,Loir-et-Cher,"47.3566037349, 1.73918483635"
87575712.0,St-Julien-L'Ars,N,O,601000,1.0,356+781,509167.0909,6609793.24621,56597.1516591,5870721.5542,St-Julien-l'Ars,Vienne,"46.56107024, 0.508420863729"
87575720.0,Jardres,O,N,601000,1.0,360+780,513149.291154,6609942.28718,62374.5685438,5871119.97446,Jardres,Vienne,"46.5635310849, 0.56032028263"
87592873.0,Chabanais,N,O,610000,2.0,455+046,522920.162639,6532870.74627,79806.1516746,5759934.44091,Chabanais,Charente,"45.8724605751, 0.716910858156"
87583443.0,Chasseneuil-sur-Bonnieure,N,O,610000,2.0,480+419,502331.767486,6528142.56915,50495.0279693,5752227.33266,Chasseneuil-sur-Bonnieure,Charente,"45.8242348595, 0.453604553968"
87583005.0,Angoulême,O,O,610000,2.0,519+906,479190.946778,6509976.14253,18272.5653032,5725017.90165,Angoulême,Charente,"45.6536427937, 0.164145246926"
87592006.0,Limoges-Bénédictins,O,O,610000,1.0,401+337,565687.623401,6527946.05782,141319.863128,5754412.88978,Limoges,Haute-Vienne,"45.837914801, 1.26949792998"
87592667.0,Aixe-sur-Vienne,N,O,610000,2.0,412+862,555968.728988,6523566.22849,127532.910249,5747797.72363,Aixe-sur-Vienne,Haute-Vienne,"45.7964985296, 1.14564762505"
87592683.0,St-Victurnien,N,O,610000,2.0,429+880,545643.22595,6532724.60351,112409.693014,5760609.26884,St-Victurnien,Haute-Vienne,"45.8766811875, 1.00979345318"
87592519.0,Mavaleix,N,N,611000,1.0,453+052,540086.910776,6491717.53559,105964.518988,5701577.15425,Chalais,Dordogne,"45.5062609048, 0.951895469815"
87595165.0,Château-l'Évêque,N,O,611000,1.0,491+159,518658.681199,6463228.47866,76618.8024082,5660095.90489,Château-l'Évêque,Dordogne,"45.244502643, 0.688278412547"
87592733.0,Lafarge,N,O,611000,1.0,429+429,554394.689162,6505555.81493,125888.7317,5721894.69791,St-Hilaire-les-Places,Haute-Vienne,"45.6340282298, 1.13087771784"
87594671.0,Lubersac,N,O,613000,1.0,462+339,574060.338815,6484073.23616,154608.751658,5691777.66439,Lubersac,Corrèze,"45.4445326947, 1.38887404673"
87594630.0,Objat,N,O,613000,1.0,484+648,575060.727663,6464078.75478,156607.430409,5663291.82574,Objat,Corrèze,"45.2647128752, 1.40682848343"
87595124.0,Thiviers,O,O,616000,1.0,463+440,537442.463246,6482089.84212,102557.235879,5687723.39522,Thiviers,Dordogne,"45.4189745728, 0.921287324871"
87584268.0,Bergerac,O,O,618000,1.0,575+900,501683.985265,6420709.67458,54463.7223541,5599065.56166,Cours-de-Pile,Dordogne,"44.8571813267, 0.489255942214"
87594457.0,Malemort-Lafont,N,N,621000,1.0,151+757,587771.59486,6452933.40249,174932.505139,5647782.07427,Malemort-sur-Corrèze,Corrèze,"45.1665657046, 1.57144543057"
87594499.0,Tulle,N,O,621000,1.0,173+415,602540.627089,6462832.96544,195635.568874,5662220.68095,Tulle,Corrèze,"45.2579400154, 1.75742421636"
87595553.0,Limeyrat,N,O,621000,1.0,101+243,541110.242737,6452807.1697,108843.313665,5646153.404,Limeyrat,Dordogne,"45.1562494974, 0.977756122401"
87594408.0,Terrasson-Lavilledieu,O,O,621000,1.0,128+417,566411.646428,6449939.53594,144765.676659,5642926.54074,Terrasson-LaVilledieu,Dordogne,"45.1358046133, 1.30045219959"
87592030.0,Le Palais,N,O,590000,2.0,392+669,571798.966101,6533125.05451,149926.993128,5762054.57672,Le Palais-sur-Vienne,Haute-Vienne,"45.8857195755, 1.34681709429"
87592253.0,Pierre-Buffière,N,O,590000,2.0,421+711,571290.230051,6512524.31556,149816.334685,5732428.64996,Pierre-Buffière,Haute-Vienne,"45.7001568172, 1.34582303258"
87597088.0,Montierchaume,O,N,590000,2.0,255+562,608409.054695,6639784.05447,200140.175084,5917941.09754,Montierchaume,Indre,"46.8519448458, 1.79788978245"
87543116.0,St-Cyr-en-Val,O,O,590000,2.0,133+133,621252.207773,6747137.55037,216811.996045,6076946.38792,St-Cyr-en-Val,Loiret,"47.8199099334, 1.94765529828"
87543157.0,Nouan-le-Fuzelier,N,O,590000,2.0,166+587,627212.639718,6715597.2769,226252.78652,6030126.74009,Nouan-le-Fuzelier,Loir-et-Cher,"47.5367322117, 2.03246336205"
87543165.0,Salbris,O,O,590000,2.0,178+665,628137.601241,6703570.23949,227836.19602,6012311.65941,Salbris,Loir-et-Cher,"47.428578073, 2.0466873716"
87594333.0,Souillac,O,O,590000,2.0,537+001,578971.883387,6423738.37424,163269.69651,5606147.28662,Souillac,Lot,"44.9022591158, 1.46667663808"
87613174.0,Dégagnac,N,O,590000,2.0,571+787,568414.200926,6396283.87913,149197.917807,5567091.01995,Dégagnac,Lot,"44.6532118831, 1.34026769925"
87613380.0,Réalville,N,O,590000,2.0,647+008,578054.876143,6336227.67795,164357.752544,5483173.03597,Réalville,Tarn-et-Garonne,"44.1144650607, 1.47645081174"
87611244.0,Montauban-Ville-Bourbon,O,O,590000,2.0,663+440,566991.051516,6325307.61022,149293.601635,5467639.20647,Montauban,Tarn-et-Garonne,"44.0141953318, 1.3411272417"
87328195.0,Thésée,N,O,593000,1.0,261+236,572517.174575,6692674.40708,146062.625974,5994813.57591,Thésée,Loir-et-Cher,"47.3221316129, 1.31210289351"
87597401.0,Clion-sur-Indre,O,N,594000,1.0,311+959,566042.214334,6650938.46206,137894.207493,5933134.05139,Clion,Indre,"46.9452009268, 1.23872474183"
87571406.0,Montbazon,N,O,594000,1.0,252+287,527820.85574,6690417.20874,80312.9096862,5989819.68539,Montbazon,Indre-et-Loire,"47.2917127568, 0.721463142832"
87597443.0,Verneuil-St-Germain,N,N,594000,1.0,290+566,552561.377131,6665905.68656,117631.853107,5954663.3257,Verneuil-sur-Indre,Indre-et-Loire,"47.0770723379, 1.05670491545"
87575795.0,Tournon-St-Martin,O,N,598000,1.0,331+217,544117.158252,6628328.42997,106672.93337,5899239.52573,Tournon-St-Martin,Indre,"46.7369297368, 0.958259264474"
87575647.0,La Haye-Descartes,O,N,598000,1.0,290+405,524762.908606,6655279.72854,77321.4966961,5937946.31658,Descartes,Indre-et-Loire,"46.9747053375, 0.694590822737"
87576165.0,Villeherviers,N,O,600000,1.0,201+044,609240.001268,6697250.60089,200075.306867,6002574.68439,Villeherviers,Loir-et-Cher,"47.3693714451, 1.79730706133"
87576173.0,Faubourg-d'Orléans,N,O,600000,1.0,205+396,604928.917011,6697035.84886,193721.987873,6002157.51914,Romorantin-Lanthenay,Loir-et-Cher,"47.3668333447, 1.74023422576"
87576181.0,Les Quatre-Roues,N,O,600000,1.0,211+275,602015.139932,6693258.46672,189516.277649,5996501.35521,Pruniers-en-Sologne,Loir-et-Cher,"47.3324082802, 1.70245368802"
87576199.0,Pruniers,N,O,600000,1.0,214+424,599699.134502,6691158.08413,186154.884,5993339.74516,Gièvres,Loir-et-Cher,"47.3131560151, 1.67225777511"
